city,state,population in millions,Zone
Agartala,Tripura,0.4,North-Eastern
Agra,Uttar Pradesh,1.6,Central
Aizwal,Mizoram,0.3,North-Eastern
Amritsar,Punjab,1.1,Northern
Asansol,West Bengal,0.6,Eastern
Aurangabad,Maharashtra,1.2,Western
Bareilly,Uttar Pradesh,0.9,Central
Belgaum,Karnataka,0.5,Southern
Bengaluru,Karnataka,8.4,Southern
Bhilai,Chhattisgarh,0.6,Central
Bhopal,Madhya Pradesh,1.8,Central
Chandigarh,Chandigarh,1,Central
Chennai,Tamil Nadu,4.7,Southern
Coimbatore,Tamil Nadu,1,Southern
Delhi,Delhi,11,Northern
Faridabad,Haryana,0.3,Northern
Gandhinagar,Gujarat,0.2,Western
Ghaziabad,Uttar Pradesh,1.6,Central
Gorakhpur,Uttar Pradesh,0.6,Central
Gwalior,Madhya Pradesh,1,Central
Hyderabad,Telangana,6.8,Southern
Imphal,Manipur,0.3,North-Eastern
Indore,Madhya Pradesh,2,Central
Jabalpur,Madhya Pradesh,0.1,Central
Jaipur,Rajasthan,3,Northern
Jalandhar,Punjab,0.9,Northern
Jodhpur,Rajasthan,1,Northern
Kanpur,Uttar Pradesh,2.8,Central
Kochi,Kerala,0.6,Southern
Kohima,Nagaland,0.1,North-Eastern
Kolkata,West Bengal,4.5,Eastern
Kota,Rajasthan,1,Northern
Kozhikode,Kerala,0.4,Southern
Lucknow,Uttar Pradesh,2.8,Central
Ludhiana,Punjab,1.6,Northern
Mangalore,Karnataka,0.5,Southern
Meerut,Uttar Pradesh,1.3,Central
Moradabad,Uttar Pradesh,0.9,Central
Mumbai,Maharashtra,12.4,Western
Mysuru,Karnataka,0.9,Southern
Nashik,Maharashtra,1.5,Western
Patna,Bihar,1.7,Eastern
Prayagraj,Uttar Pradesh,1.1,Central
Puducherry,Puducherry,0.2,Southern
Pune,Maharashtra,3.1,Western
Shillong,Meghalaya,0.1,North-Eastern
Solapur,Maharashtra,1,Western
Thiruvananthapuram,Kerala,0.7,Southern
Varanasi,Uttar Pradesh,1.2,Central
Vijayawada,Andhra Pradesh,1,Southern
Visakhapatnam,Andhra Pradesh,1.7,Southern
